            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453789.500000000, A.D. 2006-Feb-23 00:00:00.0000, -6.357557649387803E+08, -5.060451821425934E+08,  1.632720833551130E+07,  7.980341830358753E+00, -9.615871865689716E+00, -1.386584182503303E-01,  2.710982948525076E+03,  8.127322417344198E+08, -2.580758941401374E-01,
2453790.500000000, A.D. 2006-Feb-24 00:00:00.0000, -6.350656253026502E+08, -5.068755738012431E+08,  1.631521240044108E+07,  7.994992134550534E+00, -9.605015137490582E+00, -1.389870839056253E-01,  2.710908425249424E+03,  8.127099002184340E+08, -2.597048759601067E-01,
2453791.500000000, A.D. 2006-Feb-25 00:00:00.0000, -6.343743635076907E+08, -5.077049821725993E+08,  1.630318724911237E+07,  8.007109359057155E+00, -9.595208385718887E+00, -1.393978281961932E-01,  2.710833712847378E+03,  8.126875020037817E+08, -2.587002127526211E-01,
2453792.500000000, A.D. 2006-Feb-26 00:00:00.0000, -6.336819018528253E+08, -5.085335175870171E+08,  1.629112991513640E+07,  8.021022618199883E+00, -9.583323824244063E+00, -1.397028509905560E-01,  2.710758838812596E+03,  8.126650553328539E+08, -2.603919153327710E-01,
2453793.500000000, A.D. 2006-Feb-27 00:00:00.0000, -6.329883699685856E+08, -5.093611520252544E+08,  1.627903983818221E+07,  8.034386796019893E+00, -9.575126087899708E+00, -1.401486040113289E-01,  2.710684082650321E+03,  8.126426439992148E+08, -2.593484763005705E-01,
2453794.500000000, A.D. 2006-Feb-28 00:00:00.0000, -6.322935294273254E+08, -5.101879261055675E+08,  1.626691870908961E+07,  8.048821981835511E+00, -9.563217133764883E+00, -1.404521015043105E-01,  2.710608910685226E+03,  8.126201080110263E+08, -2.614565687920286E-01,
2453795.500000000, A.D. 2006-Mar-01 00:00:00.0000, -6.315974739192905E+08, -5.110137697122869E+08,  1.625476719950521E+07,  8.064311769438408E+00, -9.552602031736551E+00, -1.407868503277099E-01,  2.710533421197199E+03,  8.125974768318574E+08, -2.635698870095096E-01,
2453796.500000000, A.D. 2006-Mar-02 00:00:00.0000, -6.309001763538916E+08, -5.118385161365632E+08,  1.624259225385860E+07,  8.076099841822195E+00, -9.539974973633580E+00, -1.410948956840379E-01,  2.710457195144001E+03,  8.125746248360057E+08, -2.640716560349173E-01,
2453797.500000000, A.D. 2006-Mar-03 00:00:00.0000, -6.302017761287516E+08, -5.126623466508213E+08,  1.623038563706434E+07,  8.090751748278295E+00, -9.529029898863410E+00, -1.414227921689615E-01,  2.710380973568715E+03,  8.125517741825982E+08, -2.657389301704713E-01,
2453798.500000000, A.D. 2006-Mar-04 00:00:00.0000, -6.295022403698490E+08, -5.134851465656326E+08,  1.621815150159514E+07,  8.102571142913977E+00, -9.518365953313836E+00, -1.418097144410693E-01,  2.710304430224946E+03,  8.125288270654260E+08, -2.650331100604953E-01,
